iter	Passed	Remaining
0	6	888
1	10	689
2	14	591
3	19	603
4	22	562
5	26	532
6	29	510
7	32	492
8	36	476
9	39	462
10	42	451
11	46	448
12	49	440
13	53	431
14	56	424
15	59	416
16	62	409
17	65	402
18	69	395
19	72	390
20	75	384
21	78	380
22	83	379
23	86	375
24	89	370
25	93	365
26	96	361
27	99	356
28	103	352
29	106	347
30	109	342
31	112	338
32	115	333
33	119	329
34	122	324
35	125	321
36	128	316
37	131	312
38	135	308
39	139	307
40	143	303
41	146	300
42	149	296
43	152	291
44	158	292
45	161	288
46	165	284
47	168	280
48	171	276
49	174	272
50	177	268
51	181	264
52	184	260
53	187	256
54	190	252
55	193	248
56	196	244
57	200	241
58	204	239
59	208	236
60	211	232
61	214	228
62	217	224
63	221	221
64	224	217
65	227	213
66	230	209
67	233	206
68	236	202
69	239	198
70	243	195
71	246	191
72	249	187
73	252	184
74	255	180
75	258	176
76	261	173
77	264	169
78	267	166
79	271	162
80	274	159
81	277	155
82	281	152
83	284	148
84	287	145
85	292	142
86	295	139
87	298	135
88	301	132
89	305	128
90	308	125
91	311	122
92	316	118
93	319	115
94	324	112
95	329	109
96	333	106
97	337	103
98	342	100
99	346	97
100	350	93
101	353	90
102	357	86
103	363	83
104	370	81
105	375	77
106	380	74
107	386	71
108	392	68
109	406	66
110	414	63
111	419	59
112	423	56
113	426	52
114	433	49
115	440	45
116	447	42
117	450	38
118	453	34
